rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
m/plagues_and_pleasures_on_the_salton_sea,John Monaghan,True,Detroit Free Press,Fresh,3/4,2007-10-26,"Plagues and Pleasures is simultaneously fun and creepy, best appreciated by those who enjoy similar profiles of Detroit's crumbling grandeur."
m/the_promise_2017,Scott Marks,True,San Diego Reader,Fresh,3/5,2017-04-21,"A sprawling, '60s-style epic with just enough political intrigue to prop up the occasionally wobbly romantic triangle formed by Oscar Isaac, Charlotte Le Bon, and an uncharacteristically ill-fitting Christian Bale."
m/solaris,Wesley Lovell,False,Cinema Sight,Fresh,3.5/4,2003-01-29,An involving Sci-Fi film.
m/dog_day_afternoon,Cole Smithey,False,ColeSmithey.com,Fresh,A,2011-05-30,"As much as it is about a deeply troubled individual, ""Dog Day Afternoon"" is about a shift toward exploitation in the American media via live television."
m/love_and_friendship,Roe McDermott,False,Hot Press,Fresh,4/5,2016-05-31,Love And Friendship proves to be one of the finest ever Austen adaptations.
m/my_blueberry_nights,Michael Dance,False,The Cinema Source,Rotten,,2008-06-04,My Blueberry Nights plays much like a dream; different vignettes fade into each other ... [but] nothing ever quite adds up.
m/mystic_river,Jurgen Fauth,False,About.com,Rotten,2/5,2003-10-07,"Despite the faultless execution, this ultimately unedifying story of pointless murder is ... hopelessly contrived."
m/scary_stories_to_tell_in_the_dark,Jim Judy,False,Screen It!,Fresh,,2019-08-16,"This latest assembly of all those genre tropes actually works fairly well. (Full Content Review for Parents - Violence, Profanity, Scary Stuff, etc. - also Available)"
m/1196003-princess_and_the_frog,Mike Goodridge,False,Screen International,Fresh,,2013-11-26,"[The film is] colourful, funny and imaginative and should be a favourite with younger children in theatres and on DVD."
m/arrival_2016,Arturo Aguilar,False,Rolling Stone Mexico,Fresh,,2016-09-14,"The combination of science and emotions that Nolan wanted to deeply explore with Interstellar, it's fully reached in this film. [Full review in Spanish]"
m/robin_hood_2018,Joe Friar,False,The Victoria Advocate,Rotten,1/4,2018-11-22,"The dialogue is ridiculous and the action dull. Robin Hood is now stealing from anyone who buys a ticket, rich or poor."
m/airplane,Tim Dirks,False,AMC Filmsite,Fresh,A,2019-09-27,"Airplane! (1980) was a trend-setting, zany, hilarious comedy - using as its core material the airplane disaster film as the spoof's stepping stone, borrowing from the subplots of heavy-handed films in the 1970s decade."
m/gloria_bell,Lisa Giles-Keddie,False,HeyUGuys,Fresh,3/5,2019-06-10,A fascinating coming of middle age tale with Julianne Moore putting in another star turn.
m/while_were_young,Will Leitch,False,Deadspin,Fresh,B-,2015-03-26,"Baumbach, in what's easily his most conventional and commercial film, gives the film a fun rhythm and fills it with some legitimately good gags. The film is less wise than it thinks, though."
m/courage_under_fire,Robert Roten,False,Laramie Movie Scope,Fresh,A,2001-01-01,It looks like Washington will get an Oscar nomination for his performance in this film.
m/pitch_perfect_2,Betsy Sharkey,True,Los Angeles Times,Fresh,,2015-05-14,"It is an impressive feature directing debut, with Banks handling the high-octane chaos of ""Pitch"" with almost perfect aplomb."
m/enduring_love,Rick Groen,True,Globe and Mail,Rotten,2.5/4,2004-11-05,"Well-meaning, yet listless."
m/pope_francis_a_man_of_his_word,Sarah Ward,False,Goethe-Institute Australien Magazine,Rotten,,2018-09-24,"Only ever remains skin deep; the filmic equivalent of reading from the prayer book and listening to the sermon, rather than interrogating and internalising the words contained within."
m/the_witch_2016,AP Kryza,False,Willamette Week,Fresh,A-,2016-02-18,"A film of deliberate pacing, painterly beauty and cold brutality, freshman director Robert Eggers' The Witch is a strange beast: a combination horror film and period piece that functions at the highest tier of both genres."
m/one_flew_over_the_cuckoos_nest,Chris Nashawaty,True,Entertainment Weekly,Fresh,A,2010-09-09,"There's a lot here. But with a classic like Cuckoo's Nest, too much is never enough."
m/diary_of_a_mad_black_woman,Pete Vonder Haar,False,Film Threat,Rotten,1.5/5,2005-03-01,A mess.
m/paranormal_activity,Peter Howell,True,Toronto Star,Fresh,2.5/4,2009-10-12,"The people most scared by Paranormal Activity may be the makers of high-priced special effects, who will have to explain to studio bosses how a kid with $15,000 and one or two cameras can create such effective terror."
m/equalizer_2,Mark Kennedy,True,Associated Press,Fresh,3/4,2018-07-18,"He's cool, with moral clarity and he's three moves ahead of everyone. No wonder he's such a welcome sight in 2018 America and no wonder Washington wanted another go-around."
m/scary_movie_3,Scott Foundas,False,L.A. Weekly,Rotten,,2003-10-30,Too often even Scary Movie 3's cleverest bits degenerate from affectionate satire into mere imitation of their sources.
m/stratton,Ed Potton,True,Times (UK),Rotten,1/5,2017-08-31,"Directed by Simon West, who made the infinitely superior Con Air, it teeters under the weight of its clichs."
m/from_russia_with_love,Darrin Keene,False,Film Threat,Fresh,4/5,2003-02-04,
m/stuck_on_you,Kam Williams,False,Princeton Town Topics,Rotten,1/4,2007-04-22,"When not overindulging in birth defect humor, this shock comedy divides its attention between two equally-annoying sub-themes: degrading females and prominent product placements."
m/10011984-last_song,Matt Soergel,False,Florida Times-Union,Fresh,2.5/4,2010-03-31,"It might as well wear a 'kick-me' sign for critics, grouches and Internet trolls ... No matter: Its intended youngish, girlish audience should like it just fine, satisfied sniffles and all."
m/april_and_the_extraordinary_world_2016,Josh Terry,False,Deseret News (Salt Lake City),Fresh,3/4,2016-05-06,April is a creative and compelling film set in an alternate historic reality that imagines different results from the Industrial Revolution. It's essentially a steampunk fantasy with subtitles.
m/hannah_and_her_sisters,Linda Cook,False,"Quad City Times (Davenport, IA)",Fresh,5/5,2004-04-06,
m/1122382-spellbound,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,A,2003-07-12,Inspiring.
m/the_edge_of_seventeen,Ryan Pollard,False,Starburst,Fresh,10/10,2016-12-09,"Kelly Fremon Craig [has created] what is a true gem of a movie that has the hallmarks of a bonafide cult classic, which proves that she's truly a talent to watch out for."
m/the_christmas_candle_2013,Michael Sragow,True,Orange County Register,Rotten,C,2013-11-21,This holiday movie about a man of God who regains his faith thanks to a miraculous candle is as picturesque as a snow globe and just about as full of human life.
m/equalizer_2,Tim Robey,True,Daily Telegraph (UK),Fresh,3/5,2018-08-17,"This is far more rhythmically assured than the first one, and gains a feel for urban melancholy in the editing and score that nudges close to elegance at times."
m/gangs_of_new_york,Eleanor Ringel Cater,True,Atlanta Journal-Constitution,Fresh,A-,2002-12-20,"A fever-sprawl of a movie, a melting-pot panorama, brought to full boil."
m/the_hunger_games_mockingjay_part_2,David Keyes,False,Cinemaphile.org,Fresh,3/4,2015-11-30,"If anything is certain beyond the wavering quality of this series, it's that it has always remained focused on the immense strength of its very dedicated heroine."
m/horrible_bosses_2,Reagan Gavin Rasquinha,False,The Times of India,Fresh,3/5,2017-11-11,"All in all, a decent collection of laughs."
m/en_kongelig_affaere,Robbie Collin,True,Daily Telegraph (UK),Fresh,4/5,2012-06-14,"Arcel gives this true story the shape and bite of a well-crafted fiction, and its political themes are every bit as stirring as the romance."
m/the_jungle_book_2016,Jonathan W. Hickman,False,The Newnan Times-Herald,Fresh,9/10,2016-04-15,...a movie that families can enjoy and cherish.
m/sexy_beast,Stephen Himes,False,Film Snobs,Fresh,3/4,2002-06-10,The site of Gandhi wielding a broken beer bottle is enough to warrant two hours of Sexy Beast.
m/saving_mr_banks_2013,Peter Bradshaw,True,Guardian,Fresh,3/5,2013-10-21,"An enormous spoonful of sugar and the tiniest bit of medicine: it all goes down, just about."
m/st_elmos_fire,Spence D.,False,IGN Movies,Fresh,3/5,2004-03-12,
m/smashed,Matthew Turner,False,ViewLondon,Fresh,3/5,2012-12-13,"Involving and occasionally powerful alcoholism drama, anchored by a stunning central performance from Mary Elizabeth Winstead and some impressive direction ..."
m/fantastic_beasts_the_crimes_of_grindelwald,Brian Lowry,True,CNN.com,Fresh,,2018-11-16,"More workmanlike than magical, ""Fantastic Beasts: The Crimes of Grindelwald"" nevertheless feels like an upgrade from its predecessor, one that adds star power, introduces key characters and lays the foundation for a genuine ""Wizarding World"" franchise."
m/team_america_world_police,Mark Palermo,False,"The Coast (Halifax, Nova Scotia)",Fresh,,2004-10-28,"Parker and Stone reach beyond easy sendup of foreign relations, acknowledging xenophobia's longstanding stronghold in popular entertainment."
m/kung_fu_panda_3,Jocelyn Noveck,True,Associated Press,Fresh,3/4,2016-01-28,"Like a well-made dumpling, it's not too heavy but not too light, has the right amount of spice, and leaves one with some appetite for the next time."
m/seraphim_falls,Peter Rainer,True,Christian Science Monitor,Fresh,B,2007-02-01,"Seraphim Falls isn't completely without interest, particularly for those of us who still like Westerns and bemoan their demise almost as much as we bemoan the demise of the movie musical."
m/monster,Rob Gonsalves,False,eFilmCritic.com,Fresh,5/5,2008-07-18,Theron makes Aileen realistically frightening and unreachable at times. Murder in her hands is certainly not cool.
m/sicario_2015,Adam Fendelman,False,HollywoodChicago.com,Fresh,4/5,2015-09-26,"One of the best films of 2015, ""Sicario"" does more than just lift the dirty, clandestine rug on the Mexican drug war. It poses harrowing moral questions many of us are too nervous to be asked let alone prepared to actually answer."
m/righteous_kill,Frederic and Mary Ann Brussat,False,Spirituality & Practice,Rotten,1/5,2008-09-13,A bleak and morally meaningless cop flick.
m/1110925-invincible,Jennie Kermode,False,Eye for Film,Fresh,3.5/5,2006-07-08,
m/1221112-che,Nigel Andrews,True,Financial Times,Rotten,,2009-01-05,Che is a heroic guerrilla project in its way. It's just that these guerrillas get lost in a mist of opaque purpose and ill-defined movie mission.
m/chariots_of_fire,Frederic and Mary Ann Brussat,False,Spirituality & Practice,Fresh,,2002-09-01,Tells the true stories of two young men who become champions at the 1924 Paris Olympics and their religious commitments.
m/the_blackcoats_daughter,Scott Tobias,True,NPR,Fresh,,2017-03-30,"The film feels determinedly old-fashioned, awash in a hypnotic ambience that's only occasionally punctured by violence. Like his father, Perkins makes his jolts count."
m/rampage_2018,Mick LaSalle,True,San Francisco Chronicle,Fresh,3/4,2018-04-12,"Obviously, this makes no sense, but if you worry too much about sense, you will never really love movies or appreciate a star like Johnson."
m/the_spectacular_now,Rick Kisonak,False,Seven Days,Rotten,,2013-09-12,Director James Ponsoldt has a drinking problem. The problem is that he apparently can't stop making movies about drinking.
m/grandma_2015,David Edwards,False,Daily Mirror (UK),Fresh,4/5,2015-12-13,It's the film's intelligent and amusing exploration of family rifts and relationships between women that make it a genuine must-see.
m/1156283-doogal,Kevin Carr,False,7M Pictures,Rotten,2/5,2006-02-24,it reminds me more of something you might have seen on H.R. Pufnstuf in the 70s - without all the hallucinogenic drugs
m/joker_2019,Mark Dujsik,False,Mark Reviews Movies,Fresh,3/4,2019-10-03,"In this age of superhero saturation, different is refreshing and daring enough."
m/a_ghost_story,Kass Mitchell,False,"Vue Weekly (Edmonton, Alberta)",Fresh,3/5,2017-08-17,"While A Ghost Story is certainly worth a watch, the music might be the most beautiful part of the film."
m/voyeur_2017,Jasper Rees,True,Daily Telegraph (UK),Fresh,3/5,2017-12-02,The film is a bit of self-referential jumble which works best as a thinkpiece about the Faustian deal between writer and subject.
m/end_of_watch,Mike McGranaghan,False,Aisle Seat,Fresh,3.5/4,2012-09-27,"End of Watch is like an episode of ""Cops"" where the cops are also the people who make ""Cops."" That concept may not sound good, but it somehow did produce one of the most intense police dramas I've ever seen."
m/1111103-texas_rangers,Philip Martin,False,Arkansas Democrat-Gazette,Rotten,1/5,2005-04-08,
m/the_lego_movie_2_the_second_part,Alan Ng,False,Film Threat,Fresh,8.5/10,2019-02-11,"The Lego Movie 2: The Second Part is not as good as the first, but comes pretty damn close and is another example of a well-executed sequel. As cliched as it sounds, yes, this is a film for the kiddies, yet suitable for adults."
m/the_girls_in_the_band,Jim Harrington,True,San Jose Mercury News,Fresh,,2014-01-09,"""The Girls in the Band"" is a story of perseverance and passion - and is recommended viewing for basically every music fan."
